id_documento,titulo,descripcion,tipo_documento,departamento,modelo_equipo,fecha_actualizacion,prioridad,cliente_sector
17,Protocolo de calibración ZX-1200,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo ZX-1200. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Operaciones,ZX-1200,2023-09-22,Alta,Farmacéutico
18,Incidencia térmica ZX-1200-PLUS,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo ZX-1200-PLUS. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Mantenimiento,ZX-1200-PLUS,2023-10-29,Alta,Logística
19,Manual de mantenimiento preventivo XR-900,"Manual para mantenimiento preventivo del modelo XR-900. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Mantenimiento,XR-900,2023-12-05,Crítica,Farmacéutico
20,Informe de avería crítica XR-900-PRO,"Informe de avería crítica en equipo XR-900-PRO. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Mantenimiento,XR-900-PRO,2024-01-11,Alta,Alimentación
21,Procedimiento de seguridad XR-800,"Protocolo de seguridad para intervención sobre el modelo XR-800. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Calidad,XR-800,2024-02-17,Media,Automoción
22,Guía de diagnóstico rápido XR-800-PRO,"Guía para diagnosticar fallos frecuentes en el modelo XR-800-PRO: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Calidad,XR-800-PRO,2024-03-25,Baja,Logística
23,Revisión de calidad ZX-1200,"Informe de calidad del modelo ZX-1200. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Mantenimiento,ZX-1200,2024-05-01,Baja,Automoción
24,Operación estándar ZX-1200-PLUS,"Documento de operaciones para uso diario del modelo ZX-1200-PLUS. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Soporte,ZX-1200-PLUS,2024-06-07,Baja,Alimentación
25,Protocolo de calibración XR-900,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo XR-900. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Soporte,XR-900,2024-07-14,Media,Automoción
26,Incidencia térmica XR-900-PRO,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo XR-900-PRO. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Soporte,XR-900-PRO,2024-08-20,Baja,Logística
27,Manual de mantenimiento preventivo XR-800,"Manual para mantenimiento preventivo del modelo XR-800. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Seguridad,XR-800,2024-09-26,Crítica,Farmacéutico
28,Informe de avería crítica XR-800-PRO,"Informe de avería crítica en equipo XR-800-PRO. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Seguridad,XR-800-PRO,2024-11-02,Alta,Alimentación
29,Procedimiento de seguridad ZX-1200,"Protocolo de seguridad para intervención sobre el modelo ZX-1200. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Soporte,ZX-1200,2024-12-09,Alta,Farmacéutico
30,Guía de diagnóstico rápido ZX-1200-PLUS,"Guía para diagnosticar fallos frecuentes en el modelo ZX-1200-PLUS: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Calidad,ZX-1200-PLUS,2025-01-15,Alta,Logística
31,Revisión de calidad XR-900,"Informe de calidad del modelo XR-900. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Calidad,XR-900,2025-02-21,Crítica,Farmacéutico
32,Operación estándar XR-900-PRO,"Documento de operaciones para uso diario del modelo XR-900-PRO. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Calidad,XR-900-PRO,2025-03-30,Alta,Alimentación
33,Protocolo de calibración XR-800,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo XR-800. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Operaciones,XR-800,2025-05-06,Media,Automoción
34,Incidencia térmica XR-800-PRO,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo XR-800-PRO. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Operaciones,XR-800-PRO,2025-06-12,Baja,Logística
35,Manual de mantenimiento preventivo ZX-1200,"Manual para mantenimiento preventivo del modelo ZX-1200. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Calidad,ZX-1200,2025-07-19,Baja,Automoción
36,Informe de avería crítica ZX-1200-PLUS,"Informe de avería crítica en equipo ZX-1200-PLUS. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Seguridad,ZX-1200-PLUS,2025-08-25,Baja,Alimentación
37,Procedimiento de seguridad XR-900,"Protocolo de seguridad para intervención sobre el modelo XR-900. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Seguridad,XR-900,2025-10-01,Media,Automoción
38,Guía de diagnóstico rápido XR-900-PRO,"Guía para diagnosticar fallos frecuentes en el modelo XR-900-PRO: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Seguridad,XR-900-PRO,2025-11-07,Baja,Logística
39,Revisión de calidad XR-800,"Informe de calidad del modelo XR-800. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Mantenimiento,XR-800,2025-12-14,Crítica,Farmacéutico
40,Operación estándar XR-800-PRO,"Documento de operaciones para uso diario del modelo XR-800-PRO. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Mantenimiento,XR-800-PRO,2026-01-20,Alta,Alimentación
41,Protocolo de calibración ZX-1200,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo ZX-1200. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Seguridad,ZX-1200,2022-01-18,Alta,Farmacéutico
42,Incidencia térmica ZX-1200-PLUS,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo ZX-1200-PLUS. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Operaciones,ZX-1200-PLUS,2022-02-24,Alta,Logística
43,Manual de mantenimiento preventivo XR-900,"Manual para mantenimiento preventivo del modelo XR-900. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Operaciones,XR-900,2022-04-02,Crítica,Farmacéutico
44,Informe de avería crítica XR-900-PRO,"Informe de avería crítica en equipo XR-900-PRO. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Operaciones,XR-900-PRO,2022-05-09,Alta,Alimentación
45,Procedimiento de seguridad XR-800,"Protocolo de seguridad para intervención sobre el modelo XR-800. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Soporte,XR-800,2022-06-15,Media,Automoción
46,Guía de diagnóstico rápido XR-800-PRO,"Guía para diagnosticar fallos frecuentes en el modelo XR-800-PRO: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Soporte,XR-800-PRO,2022-07-22,Baja,Logística
47,Revisión de calidad ZX-1200,"Informe de calidad del modelo ZX-1200. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Operaciones,ZX-1200,2022-08-28,Baja,Automoción
48,Operación estándar ZX-1200-PLUS,"Documento de operaciones para uso diario del modelo ZX-1200-PLUS. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Mantenimiento,ZX-1200-PLUS,2022-10-04,Baja,Alimentación
49,Protocolo de calibración XR-900,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo XR-900. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Mantenimiento,XR-900,2022-11-10,Media,Automoción
50,Incidencia térmica XR-900-PRO,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo XR-900-PRO. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Mantenimiento,XR-900-PRO,2022-12-17,Baja,Logística
51,Manual de mantenimiento preventivo XR-800,"Manual para mantenimiento preventivo del modelo XR-800. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Calidad,XR-800,2023-01-23,Crítica,Farmacéutico
52,Informe de avería crítica XR-800-PRO,"Informe de avería crítica en equipo XR-800-PRO. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Calidad,XR-800-PRO,2023-03-01,Alta,Alimentación
53,Procedimiento de seguridad ZX-1200,"Protocolo de seguridad para intervención sobre el modelo ZX-1200. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Mantenimiento,ZX-1200,2023-04-07,Alta,Farmacéutico
54,Guía de diagnóstico rápido ZX-1200-PLUS,"Guía para diagnosticar fallos frecuentes en el modelo ZX-1200-PLUS: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Soporte,ZX-1200-PLUS,2023-05-14,Alta,Logística
55,Revisión de calidad XR-900,"Informe de calidad del modelo XR-900. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Soporte,XR-900,2023-06-20,Crítica,Farmacéutico
56,Operación estándar XR-900-PRO,"Documento de operaciones para uso diario del modelo XR-900-PRO. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Soporte,XR-900-PRO,2023-07-27,Alta,Alimentación
57,Protocolo de calibración XR-800,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo XR-800. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Seguridad,XR-800,2023-09-02,Media,Automoción
58,Incidencia térmica XR-800-PRO,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo XR-800-PRO. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Seguridad,XR-800-PRO,2023-10-09,Baja,Logística
59,Manual de mantenimiento preventivo ZX-1200,"Manual para mantenimiento preventivo del modelo ZX-1200. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Soporte,ZX-1200,2023-11-15,Baja,Automoción
60,Informe de avería crítica ZX-1200-PLUS,"Informe de avería crítica en equipo ZX-1200-PLUS. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Calidad,ZX-1200-PLUS,2023-12-22,Baja,Alimentación
61,Procedimiento de seguridad XR-900,"Protocolo de seguridad para intervención sobre el modelo XR-900. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Calidad,XR-900,2024-01-28,Media,Automoción
62,Guía de diagnóstico rápido XR-900-PRO,"Guía para diagnosticar fallos frecuentes en el modelo XR-900-PRO: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Calidad,XR-900-PRO,2024-03-05,Baja,Logística
63,Revisión de calidad XR-800,"Informe de calidad del modelo XR-800. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Operaciones,XR-800,2024-04-11,Crítica,Farmacéutico
64,Operación estándar XR-800-PRO,"Documento de operaciones para uso diario del modelo XR-800-PRO. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Operaciones,XR-800-PRO,2024-05-18,Alta,Alimentación
65,Protocolo de calibración ZX-1200,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo ZX-1200. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Calidad,ZX-1200,2024-06-24,Alta,Farmacéutico
66,Incidencia térmica ZX-1200-PLUS,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo ZX-1200-PLUS. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Seguridad,ZX-1200-PLUS,2024-07-31,Alta,Logística
67,Manual de mantenimiento preventivo XR-900,"Manual para mantenimiento preventivo del modelo XR-900. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Seguridad,XR-900,2024-09-06,Crítica,Farmacéutico
68,Informe de avería crítica XR-900-PRO,"Informe de avería crítica en equipo XR-900-PRO. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Seguridad,XR-900-PRO,2024-10-13,Alta,Alimentación
69,Procedimiento de seguridad XR-800,"Protocolo de seguridad para intervención sobre el modelo XR-800. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Mantenimiento,XR-800,2024-11-19,Media,Automoción
70,Guía de diagnóstico rápido XR-800-PRO,"Guía para diagnosticar fallos frecuentes en el modelo XR-800-PRO: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Mantenimiento,XR-800-PRO,2024-12-26,Baja,Logística
71,Revisión de calidad ZX-1200,"Informe de calidad del modelo ZX-1200. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Seguridad,ZX-1200,2025-02-01,Baja,Automoción
72,Operación estándar ZX-1200-PLUS,"Documento de operaciones para uso diario del modelo ZX-1200-PLUS. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Operaciones,ZX-1200-PLUS,2025-03-10,Baja,Alimentación
73,Protocolo de calibración XR-900,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo XR-900. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Operaciones,XR-900,2025-04-16,Media,Automoción
74,Incidencia térmica XR-900-PRO,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo XR-900-PRO. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Operaciones,XR-900-PRO,2025-05-23,Baja,Logística
75,Manual de mantenimiento preventivo XR-800,"Manual para mantenimiento preventivo del modelo XR-800. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Soporte,XR-800,2025-06-29,Crítica,Farmacéutico
76,Informe de avería crítica XR-800-PRO,"Informe de avería crítica en equipo XR-800-PRO. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Soporte,XR-800-PRO,2025-08-05,Alta,Alimentación
77,Procedimiento de seguridad ZX-1200,"Protocolo de seguridad para intervención sobre el modelo ZX-1200. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Operaciones,ZX-1200,2025-09-11,Alta,Farmacéutico
78,Guía de diagnóstico rápido ZX-1200-PLUS,"Guía para diagnosticar fallos frecuentes en el modelo ZX-1200-PLUS: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Mantenimiento,ZX-1200-PLUS,2025-10-18,Alta,Logística
79,Revisión de calidad XR-900,"Informe de calidad del modelo XR-900. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Mantenimiento,XR-900,2025-11-24,Crítica,Farmacéutico
80,Operación estándar XR-900-PRO,"Documento de operaciones para uso diario del modelo XR-900-PRO. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Mantenimiento,XR-900-PRO,2025-12-31,Alta,Alimentación
81,Protocolo de calibración XR-800,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo XR-800. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Calidad,XR-800,2026-02-06,Media,Automoción
82,Incidencia térmica XR-800-PRO,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo XR-800-PRO. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Calidad,XR-800-PRO,2022-02-04,Baja,Logística
83,Manual de mantenimiento preventivo ZX-1200,"Manual para mantenimiento preventivo del modelo ZX-1200. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Mantenimiento,ZX-1200,2022-03-13,Baja,Automoción
84,Informe de avería crítica ZX-1200-PLUS,"Informe de avería crítica en equipo ZX-1200-PLUS. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Soporte,ZX-1200-PLUS,2022-04-19,Baja,Alimentación
85,Procedimiento de seguridad XR-900,"Protocolo de seguridad para intervención sobre el modelo XR-900. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Soporte,XR-900,2022-05-26,Media,Automoción
86,Guía de diagnóstico rápido XR-900-PRO,"Guía para diagnosticar fallos frecuentes en el modelo XR-900-PRO: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Soporte,XR-900-PRO,2022-07-02,Baja,Logística
87,Revisión de calidad XR-800,"Informe de calidad del modelo XR-800. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Seguridad,XR-800,2022-08-08,Crítica,Farmacéutico
88,Operación estándar XR-800-PRO,"Documento de operaciones para uso diario del modelo XR-800-PRO. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Seguridad,XR-800-PRO,2022-09-14,Alta,Alimentación
89,Protocolo de calibración ZX-1200,"Procedimiento para ajustar sensores de presión y temperatura en sistemas de refrigeración industrial del modelo ZX-1200. Incluye comprobación de lecturas, tolerancias y validación final.",Procedimiento,Soporte,ZX-1200,2022-10-21,Alta,Farmacéutico
90,Incidencia térmica ZX-1200-PLUS,"Ticket sobre fallo de temperatura en cámara frigorífica conectada al modelo ZX-1200-PLUS. Se revisan alarmas, ventiladores, presión del circuito y controlador.",Informe,Calidad,ZX-1200-PLUS,2022-11-27,Alta,Logística
91,Manual de mantenimiento preventivo XR-900,"Manual para mantenimiento preventivo del modelo XR-900. Describe limpieza, revisión de sensores, engrase, comprobación eléctrica y parada segura.",Manual,Calidad,XR-900,2023-01-03,Crítica,Farmacéutico
92,Informe de avería crítica XR-900-PRO,"Informe de avería crítica en equipo XR-900-PRO. Analiza síntomas, causa raíz, impacto en producción y acciones correctivas.",Ticket,Calidad,XR-900-PRO,2023-02-09,Alta,Alimentación
93,Procedimiento de seguridad XR-800,"Protocolo de seguridad para intervención sobre el modelo XR-800. Incluye bloqueo y etiquetado, parada de emergencia y verificación antes del arranque.",Procedimiento,Operaciones,XR-800,2023-03-18,Media,Automoción
94,Guía de diagnóstico rápido XR-800-PRO,"Guía para diagnosticar fallos frecuentes en el modelo XR-800-PRO: presión, temperatura inestable, sensor fuera de rango y pérdida de comunicación.",Informe,Operaciones,XR-800-PRO,2023-04-24,Baja,Logística
95,Revisión de calidad ZX-1200,"Informe de calidad del modelo ZX-1200. Incluye validación de parámetros, registro de desviaciones y aceptación tras intervención.",Manual,Calidad,ZX-1200,2023-05-31,Baja,Automoción
96,Operación estándar ZX-1200-PLUS,"Documento de operaciones para uso diario del modelo ZX-1200-PLUS. Describe arranque, parada, revisión visual e indicadores de estado.",Ticket,Seguridad,ZX-1200-PLUS,2023-07-07,Baja,Alimentación
